Tourist_Spot,Address,Zipcode,Region,BoroName
One World Observatory,"One World Trade Center, 285 Fulton St. 45 fl. ste. F Manhattan, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
Parachute Jump,"Boardwalk W. (bet. W. 16th and W. 19th Sts.) Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Paradise Theater,"2403 Grand Concourse Bronx, NY 10468, Fordham",10468,Fordham,Bronx
Pepsi-Cola Sign,"30-99 48th AvenueNew York, NY 11101, Long Island City",11101,Long Island City,Manhattan
Plymouth Church of the Pilgrims,"75 Hicks St Brooklyn, NY 11201, Brooklyn Heights",11201,Brooklyn Heights,Brooklyn
Poe Park,"Grand Concourse and East 192nd Street Bronx, NY 10458, Fordham",10458,Fordham,Bronx
Prospect Park,"95 Prospect Park West Brooklyn , NY 11215, Park Slope",11215,Park Slope,Brooklyn
Prospect Park Audubon Center,"Prospect Park Brooklyn, NY 11225, Park Slope",11225,Park Slope,Brooklyn
Prospect Park Carousel,"Enter the park at Willink entrance (intersection of Empire, Ocean and Flatbush Aves.) Brooklyn, NY 11210, Park Slope",11210,Park Slope,Brooklyn
Prospect Park Lake,"Parkside and Ocean Avenues entrance Brooklyn, NY 11218, Park Slope",11218,Park Slope,Brooklyn
Prospect Park Litchfield Villa,"95 Prospect Park West Brooklyn, NY 11215, Park Slope",11215,Park Slope,Brooklyn
Prospect Park Zoo,"450 Flatbush Ave. Brooklyn, NY 11225, Crown Heights",11225,Crown Heights,Brooklyn
Queens Museum,"New York City Building, Flushing Meadows Corona Park Queens, NY 11368, Flushing",11368,Flushing,Queens
Queens Zoo,"53-51 111th St. Queens, NY 11368, Flushing",11368,Flushing,Queens
Queensboro Bridge,"Ed Koch Queensboro Bridge, New York, NY 10044",10044,NY 10044,Queens
Radio City Music Hall,"1260 Sixth Ave. Manhattan, NY 10020, Midtown West",10020,Midtown West,Manhattan
Resorts World Casino New York City,"110-00 Rockaway Blvd. Queens, NY 11420, Jamaica",11420,Jamaica,Queens
Ripley's Believe It or Not! Times Square,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Riverside Park,"Riverside Drive to Hudson River 72nd St. to St Clair Pl. New York, NY 10115, Upper West Side",10115,Upper West Side,Manhattan
Rockefeller Center,"45 Rockefeller Plaza Manhattan, NY 10111, Midtown West",10111,Midtown West,Manhattan
Roosevelt Island,"591 Main St. Roosevelt Island, NY 10044, Roosevelt Island",10044,Roosevelt Island,
Roundabout Theatre Company,"231 W. 39th St., ste. 1200 New York, NY 10018, Midtown West",10018,Midtown West,Manhattan
Sail the Park,"Kerbs Memorial Boathouse in Central Park (off Fifth Ave. btw. 72nd–76th Sts.) Manhattan, NY 10021, Central Park",10021,Central Park,Manhattan
Schomburg Center for Research in Black Culture,"515 Malcolm X Blvd. Manhattan, NY 10037, Harlem",10037,Harlem,Manhattan
SeaGlass Carousel,"The Battery Manhattan, NY 10004, Lower Manhattan",10004,Lower Manhattan,Manhattan
Seaport District NYC,"Pier 17, Fulton and Front Streets Manhattan, NY 10038, Lower Manhattan",10038,Lower Manhattan,Manhattan
"Sheep Meadow, Central Park","1802 65th St Transverse, New York, NY 10065",10065,NY 10065,Manhattan
Sleep No More,"530 W. 27th St. Manhattan, NY 10001, Chelsea",10001,Chelsea,Manhattan
Socrates Sculpture Park,"32-01 Sculpture Park at Broadway Queens, NY 11106, Long Island City",11106,Long Island City,Queens
Solomon R. Guggenheim Museum,"1071 Fifth Ave. Manhattan, NY 10128, Upper East Side",10128,Upper East Side,Manhattan
South Street Seaport Museum,"Pier 16, South Street Seaport, South St. at the foot of John St.; office: 12 Fulton St. Manhattan, NY 10038, Lower Manhattan",10038,Lower Manhattan,Manhattan
Spirit of New York,"Pier 61, Chelsea Piers at W. 23rd St. & 12th Avenue Manhattan, NY 10011, Chelsea",10011,Chelsea,Manhattan
St. Patrick's Cathedral,"Fifth Ave. btw. 50th-51st Sts. Manhattan, NY 10126, Midtown East",10126,Midtown East,Manhattan
St. Patrick’s Old Cathedra,"263 Mulberry St Manhattan, NY 10012, Nolita",10012,Nolita,Manhattan
St. Paul's Chapel,"209 Broadway Manhattan, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
Staten Island Borough Hall,"10 Richmond Terrace Staten Island, NY 10301, St. George",10301,St. George,Staten Island
Staten Island Ferry,"St. George Terminal, 1 Bay St. Staten Island, NY 10301, St. George",10301,St. George,Staten Island
Staten Island September 11 Memorial,"St George Esplanade Staten Island, NY 10301, St. George",10301,St. George,Staten Island
Staten Island Yankees,"Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301 St. George",10301,NY 10301 St. George,Staten Island
Staten Island Zoo,"614 Broadway Staten Island, NY 10310, Staten Island",10310,Staten Island,Staten Island
Statue of Liberty National Monument,"Liberty Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,Battery Park City,Manhattan
Strawberry Fields/Imagine Mosaic,"Bet 71st and 74th Sts on the Central Park West side Manhattan, NY 10023, Central Park",10023,Central Park,Manhattan
The Church of St. Luke in the Fields,"487 Hudson St Manhattan, NY 10014, West Village",10014,West Village,Manhattan
The Cyclone,"834 Surf Ave Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
The Frick Collection,"1 E. 70th St. Manhattan, NY 10021 Upper East Side",10021,NY 10021 Upper East Side,Manhattan
The High Line,"Gansevoort Street to West 30th Street Manhattan, NY 10011, Meatpacking District",10011,Meatpacking District,Manhattan
The Met Breuer,"945 Madison Ave. Manhattan, NY 10021, Upper East Side",10021,Upper East Side,Manhattan
The Met Cloisters,"Fort Tryon Park, 99 Margaret Corbin Dr. Manhattan, NY 10040, Washington Heights/Inwood",10040,Washington Heights/Inwood,Manhattan
The Met Fifth Avenue,"Fifth Ave. at 82nd St. Manhattan, NY 10028 ,Upper East Side",10028,Upper East Side,Manhattan
The Metropolitan Opera,"Metropolitan Opera House at Lincoln Center Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
The Museum of Modern Art (MoMA),"11 W. 53rd St. Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
The New York Chinese Scholar's Garden,"Snug Harbor Cultural Center & Botanical Garden, 1000 Richmond Terrace Staten Island, NY, Randall Manor",10301,Randall Manor,Staten Island
The New York Pass,"36 W. 44th St., ste. 1407 New York, NY 10036 Midtown West",10036,NY 10036 Midtown West,Manhattan
The New-York Historical Society,"170 Central Park West Manhattan, NY 10024",10024,NY 10024,Manhattan
The PIT,"123 E 24th St Manhattan, NY, Flatiron District",10010,Flatiron District,Manhattan
The Plaza Hotel,"Fifth Ave. at Central Park South Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
The Ride,"box office: inside The Gift Shop at 584 Eighth Ave. Manhattan, NY 10018, Garment District",10018,Garment District,Manhattan
The Rink at Rockefeller Center,"One Rockefeller Plaza Manhattan, NY 10020, Midtown West",10020,Midtown West,Manhattan
The Riverside Church New York City,"490 Riverside Dr. Manhattan, NY 10027, Morningside Heights",10027,Morningside Heights,Manhattan
The Tenement Museum,"103 Orchard St. Manhattan, NY 10002, Lower East Side",10002,Lower East Side,Manhattan
The Thunderbolt,"W. 16th St. and the Boardwalk Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
The Tour at NBC Studios,"30 Rockefeller Plaza Manhattan, NY 10112, Midtown West",10112,Midtown West,Manhattan
The Town Hall,"123 W. 43rd St. Manhattan, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Theodore Roosevelt Birthplace,"28 E. 20th St. Manhattan, NY 10003, Gramercy",10003,Gramercy,Manhattan
Times Square,"Broadway Manhattan, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Top of the Rock Observation Deck,"30 Rockefeller Plaza Manhattan, NY 10112, Midtown West",10112,Midtown West,Manhattan
Turtle Pond,"New York, NY 10024, Central Park",10024,Central Park,Manhattan
Underpenny Plane and Cast Iron Museum,"10-13 50th Ave. Queens, NY 11101, Long Island City",11101,Long Island City,Queens
United Nations,"First Ave. at 46th St. Manhattan, NY 10017, Midtown East",10017,Midtown East,Manhattan
United Palace House of Inspiration,"4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood",10033,Washington Heights/Inwood,Manhattan
USTA Billie Jean King National Tennis Center,"Flushing Meadows Corona Park Queens, NY 11368, Flushing",11368,Flushing,Queens
Van Cortlandt House Museum,"Van Cortlandt Park, Broadway @ 246th St. Bronx, NY 10471, Fordham",10471,Fordham,Bronx
Verrazano-Narrows Bridge,"Verrazano-Narrows Bridge, Staten Island, NY",11209,NY,Staten Island
Victorian Gardens Amusement Park (Central Park),"Wollman Rink in Central Park, enter park at 59th St. and Sixth Ave. Manhattan, NY 10065, Central Park",10065,Central Park,Manhattan
VR World NYC,"4 E. 34 St. Manhattan, NY 10022 Murray Hill",10022,NY 10022 Murray Hill,Manhattan
Wall Street,"Wall St. Manhattan, NY 10006, Lower Manhattan",10006,Lower Manhattan,Manhattan
Washington Square Park,"W 4th St to Waverly Pl Manhattan, NY 10003, Greenwich Village",10003,Greenwich Village,Manhattan
Waterfront at Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,Battery Park City,Manhattan
Wave Hill,"675 W. 252nd St. Bronx, NY 10471, Riverdale",10471,Riverdale,Bronx
Wildlife Conservation Society,"2300 Southern Blvd. Bronx, NY 10460, The Bronx",10460,The Bronx,Bronx
Williamsburg Bridge,"Williamsburg, New York, NY 11104",11104,NY 11104,Manhattan
Woodlawn Cemetery,"Webster Ave. & E. 233rd St.; second entrance: Jerome Ave. at Bainbridge Ave. Bronx, NY 10470, Woodlawn",10470,Woodlawn,Bronx
World Trade Center Transportation Hub,"New York, NY, Lower Manhattan",10007,Lower Manhattan,Manhattan
Wyckoff Farmhouse Museum,"5816 Clarendon Rd. Brooklyn, NY 11203, Midwood",11203,Midwood,Brooklyn
African Burial Ground National Monument,"290 Broadway Manhattan, NY 10007, Tribeca",10007,Tribeca,Manhattan
Manhattan Bridge,"Enter at Bowery between Canal and Bayard Streets (Manhattan side) Manhattan, NY 10002, Manhattan",10002,Manhattan,Manhattan
Conservatory Garden,"Fifth Ave and 105th St Manhattan, NY 10029, Central Park",10029,Central Park,Manhattan
Mount Vernon Hotel Museum & Garden,"421 E. 61st St. Manhattan, NY 10065, Upper East Side",10065,Upper East Side,Manhattan
St. George Theatre,"35 Hyatt St. Staten Island, NY 10301, St. George",10301,St. George,Staten Island
Explorer Pass,"151 W 34th St, New York, NY 10001",10001,NY 10001,Manhattan
Wollman Rink,"near 59th St. & Sixth Ave. within Central Park Manhattan, NY 10021, Central Park",10021,Central Park,Manhattan
Friedsam Memorial Carousel,"Mid-park at 64th St Manhattan, NY 10023, Central Park",10023,Central Park,Manhattan
Japan Society,"333 E. 47th St. Manhattan, NY 10017, Midtown East",10017,Midtown East,Manhattan
FDNY Fire Zone Rockefeller Center ,"34 West 51st Street New York, NY 10020, Midtown West",10020,Midtown West,Manhattan
TimeLooper`,"mail: 40 Harrison St., 3K New York, NY 10013",10013,NY 10013,Manhattan
"On Location Tours, Inc.","Meeting Sites in Midtown Manhattan; mail: 555 Eighth Ave., ste. 2003 Manhattan, NY 10018, Times Square/Theatre District",10018,Times Square/Theatre District,Manhattan
Snug Harbor Cultural Center & Botanical Garden,"1000 Richmond Terr. Staten Island, NY 10301",10301,NY 10301,Staten Island
Voilà Chocolat,"221 W. 79th St. Manhattan, NY 10024, Upper West Side",10024,Upper West Side,Manhattan
Central Park Zoo,"830 Fifth Ave. (southeast corner of Central Park) Manhattan, NY 10021, Central Park",10021,Central Park,Manhattan
Asser Levy/Seaside Park,"W 5th St Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Woolworth Building,"233 Broadway New York, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,Battery Park City,Manhattan
New York Mets,"Citi Field, 126th St. and Roosevelt Ave. Queens, NY 11368, Flushing",11368,Flushing,Queens
Onassis Cultural Center New York,"645 Fifth Ave. (enter on 51st St.) Manhattan, NY 10022, Midtown East",10022,Midtown East,Manhattan
Official NYC Information Center–South Street Seaport,"Hornblower Cruises on the East River Waterfront Esplanade at Pier 15 Manhattan, NY 10038, Lower Manhattan",10038,Lower Manhattan,Manhattan
Fort Wadsworth,"210 New York Ave. Staten Island, NY 10305, Staten Island",10305,Staten Island,Staten Island
Deno's Wonder Wheel Amusement Park,"3059 Denos Vourderis Place (W 12th St) Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Bethesda Terrace/Fountain,"Mid-park at 72nd St. New York, NY, Central Park",10021,Central Park,Manhattan
George Washington Bridge,"George Washington Bridge Manhattan, NY, Washington Heights/Inwood",07024,Washington Heights/Inwood,Manhattan
The Public Theate,"425 Lafayette St. Manhattan, NY 10003, East Village",10003,East Village,Manhattan
Washington Street between Front and Water Streets,"Brooklyn, NY 11205, DUMBO",11205,DUMBO,Brooklyn
Brooklyn Bridge Park,"334 Furman St. Brooklyn, NY 11201, DUMBO",11201,DUMBO,Brooklyn
Tompkins Square Park,"E 10th St, New York, NY 10009",10009,NY 10009,Manhattan
Lincoln Center for the Performing Arts,"70 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
National Park Service,"c/o Statue of Liberty National Monument New York, NY 10004, Battery Park City",10004,Battery Park City,Manhattan
Belvedere Castle,"Central Park, midpark at 79th St Manhattan, NY, Central Park",10021,Central Park,Manhattan
Sunset Park,"Bet. Fifth and Seventh Aves. and 41st and 44th Sts. Brooklyn, NY 11220, Sunset Park",11220,Sunset Park,Brooklyn
Official NYC Information Center (Times Square),"Broadway Plaza, between 43rd and 44th Streets New York, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Morris-Jumel Mansion,"65 Jumel Terr. Manhattan, NY 10032, Washington Heights/Inwood",10032,Washington Heights/Inwood,Manhattan
Conservatory Water,"72nd to 75th Sts Manhattan, NY 10021 Central Park",10021,NY 10021 Central Park,Manhattan
Madame Tussauds New York,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Whitney Museum of American Art,"99 Gansevoort St. Manhattan, NY 10014, Meatpacking District",10014,Meatpacking District,Manhattan
Coney Island History Project,"Deno's Wonder Wheel Amusement Park, 3059 W. 12th St. Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
United Palace Theatre,"4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood",10033,Washington Heights/Inwood,Manhattan
Central Park,"Between Fifth Ave. and Central Park West Manhattan, NY 10024, Central Park",10024,Central Park,Manhattan
Bank of America Winter Village at Bryant Park,"Bryant Park, 42nd St. and 6th Ave. Manhattan, NY 10018, Midtown West",10018,Midtown West,Manhattan
New York City Ballet,"David H. Koch Theater, 20 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
Museum of Sex,"233 Fifth Ave. Manhattan, NY 10016, NoMad",10016,NoMad,Manhattan
Coney Island,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Unbreakable Kimmy Schmidt Apartment,"74 Freeman St. Brooklyn, NY 11222, Greenpoint",11222,Greenpoint,Brooklyn
Bryant Park,"Sixth Ave. between 40th and 42nd Sts. Manhattan, NY Midtown West",10018,NY Midtown West,Manhattan
New York Rangers,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,Midtown West,Manhattan
Citi Field,"126th St. and Roosevelt Ave. Flushing, NY 11368, Flushing",11368,Flushing,
Queens Botanical Garden,"43-50 Main St. Queens, NY 11355, Flushing",11355,Flushing,Queens
Prospect Park Bandshell,"Prospect Park West Brooklyn, NY 11217, Park Slope",11217,Park Slope,Brooklyn
Prospect Park Concert Grove,"Parkside and Ocean Avenues entrance Brooklyn, NY 11225, Park Slope",11225,Park Slope,Brooklyn
The Mall and Literary Walk,"Mid-park bet 66th and 72nd Sts Manhattan, NY 10022, Central Park",10022,Central Park,Manhattan
IFC Center,"323 Sixth Ave. New York, NY 10014, West Village",10014,West Village,Manhattan
Andrew Heiskell Braille and Talking Book Library,"40 W 20th St # 1 New York, NY 10011, Chelsea",10011,Chelsea,Manhattan
Brooklyn Borough Hall,"209 Joralemon St Brooklyn, NY 11209, Downtown Brooklyn",11209,Downtown Brooklyn,Brooklyn
New York Aquarium,"602 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Yankee Stadium,"1 E. 161st St. Bronx, NY 10451, South Bronx",10451,South Bronx,Bronx
High Bridge,"Amsterdam Avenue and West 172nd Street Manhattan, NY 10032, Washington Heights/Inwood",10032,Washington Heights/Inwood,Manhattan
One World Trade Center,"1 World Trade Center Manhattan, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
9/11 Memorial Museum Store,"20 Vesey St. Manhattan, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
Madison Square Park,"23rd to 26th Sts. (bet. Fifth and Madison Aves.) Manhattan, NY 10010, Flatiron District",10010,Flatiron District,Manhattan
New York Philharmonic,"David Geffen Hall (formerly Avery Fisher), 10 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
Gracie Mansion,"East End Ave Manhattan, NY 10128, Upper East Side",10128,Upper East Side,Manhattan
Trinity Wall Street,"Broadway at Wall St. Manhattan, NY 10006, Lower Manhattan",10006,Lower Manhattan,Manhattan
Brooklyn Cyclones,"MCU Park, 1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
Bronx Zoo Treetop Adventure,"Bronx, NY 10460, Fordham",10460,Fordham,Bronx
West 4th Street Courts,"Sixth Ave. Manhattan, NY 10011, Greenwich Village",10011,Greenwich Village,Manhattan
Staten Island Yankees,"Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301, St. George",10301,St. George,Staten Island
Manhattan by Sail,"Locations: N. Cove Marina, Brookfield Place (Liberty St.–Hudson River), Manhattan 10007; ",10007,Manhattan 10007;,Manhattan
Manhattan by Sail,"inside Battery Park at the Hudson River (enter across from 17 State St.) Manhattan, NY 10004, Battery Park City",10004,Battery Park City,Manhattan
Museum of American Finance,"48 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,Lower Manhattan,Manhattan
New York Stock Exchange,"11 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,Lower Manhattan,Manhattan
Hook & Ladder Company 8,"14 N. Moore St. Manhattan, NY 10013, Tribeca",10013,Tribeca,Manhattan
Grand Masonic Lodge of New York,"71 W. 23rd St. Manhattan, NY 10010, Chelsea",10010,Chelsea,Manhattan
St. Mark’s Place,"113 St Marks Pl, New York City, NY 10009-5161",10009,NY 10009-5161,
Franklin D. Roosevelt Four Freedoms Park,"1 FDR Four Freedoms Park, E. Rd. S. of Rd. 3 Manhattan, NY 10044, Roosevelt Island",10044,Roosevelt Island,Manhattan
Gray Line CitySightseeing New York Bus Tours,"777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Abracadabra Superstore,"19 W 21st St Manhattan , NY 10010, Chelsea",10010,Chelsea,Manhattan
Brooklyn Brewery,"79 N. 11th St. Brooklyn, NY 11211, Williamsburg",11211,Williamsburg,Brooklyn
Kingsland Homestead,"143-35 37th Ave. Queens, NY 11354, Flushing",11354,Flushing,Queens
French Institute Alliance Française,"22 E. 60th St. Manhattan, NY 10022, Upper East Side",10022,Upper East Side,Manhattan
Commodore Barry Park,"Nassau Street (bet. Navy St. and N. Elliot Place) Brooklyn, NY 11201, Fort Greene",11201,Fort Greene,Brooklyn
Saint Augustine's Episcopal Church,"290 Henry St Manhattan, NY 10002, Lower East Side",10002,Lower East Side,Manhattan
Casa Belvedere,"79 Howard Ave. Staten Island, NY 10301, St. George",10301,St. George,Staten Island
Merchant's House Museum,"29 E. 4th St. Manhattan, NY 10003, Greenwich Village",10003,Greenwich Village,Manhattan
